Video ID,Title,Comment,Label
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Senti falta do vocabulário escrito, somente a fala subtrai muito o entendimento. Obrigada.",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Hier in Brasilien gibt es auch Abendbrot haha und ja essen wir auch Brot zum Frühstück! Ich denke dass, Essen ein bisschen schwer vor Schlafen ist! Natürlich habe wir einige Ausnahmen zum Beispiel wenn wir Pizza essen oder zum Abendessen eingeladen sind.. aber wenn zu Hause wir bleiben normalerweise essen wir Brot mit Käse, Schinken und so weiter. Apropos vielen Dank für deine Videos! Sie machen echt und völlig Spaß! Liebe Grüße aus Brasilien!",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Кари и Януш, добрый вечер! Спасибо за стрим! На вопрос ""как дела"" люди в России отвечают по-разному. Что неудивительно) Кто сдержан на эмоции, так это чехи.",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"In der heutigen Situation, ist Deutschlands unerträglich, un schlimm geworden.",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Eine Spanisch fan hier. Sie machen wirklich spass wenn in Spanisch sprechen.,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Sind sie verheiratet?🤔,1
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Ich muss sagen, ich bin in Augsburg und hier die Deutschen sind sehr freundlich und nett. Ja, natürlich, es gibt immer böse und nervöse Leute, aber das gibt es in alle Länder. Ich habe nur positive Erfahrung. 😊",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"""Das hört sich zwar doof an"" - also immerhin einer ist es aufgefallen...",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Wenn sich noch jemand für ein Dorf interessiert, in dem nicht so viel Menschen Englich sprechen, kann ich München empfehlen:)",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,hallo,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Janusz i Cari serdeczne pozdrowienia z Polski 🙂
Ihr seid einfach super! Ich liebe eure Energie und freue mich sehr dass ich  mit Euch mein Deutsch üben kann. 
Liebe Grüße 😍
Anita",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Janusz, mach dich nicht so runter!",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Ich finde, dass es gibt nicht zu viele Leute, dass Englisch sprechen in Deutschland können/wollen. Nur in die großen Städte, aber außerdem (Zb. Brandenburg) Leute verstehe kein Englisch und fragt ""Bitte hier nur Deutsch"".",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Many Germans are quite racist without realising it.,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Most efficient way to learn German... marry one xD,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,SALUDOS DESDE MEXICO-,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Ich lerne Deutsch und ihre Videos helfen mir sehr,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Also ich muss euch echt mal loben, ich bin deutsche Muttersprachlerin und ich höre euch sehr gerne zu. Einfach, weil ihr sehr ruhig und verständlich redet und es trotzdem überhaupt nicht zu langsam wirkt. Das hört man sonst sehr wenig auf YouTube. Ich selbst rede sehr schnell und schaue euch zum Runterkommen und zum Entspannen. Die Themen sind immer spannend und selbst ich lerne jedes Mal etwas dazu. Weiter so!!!",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,Me encantan ! Danke,0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Ich habe in dieser Episode erfahren, dass ihr aus Münster kommt. Deswegen sprecht ihr so deutlich! Ich wohne dort in der Nähe und der Akzent ist sooo verständlich (verglichen mit anderen natürlich)",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"""tu sabes yo soy hombre sincero, no tengo dinero"" JAJAJAJAJAJAJAJJAJAJAJAJAJSJSJAJAJAJAHAHAHHSJAHSJSJAHSHDD",0
wQCDBfpjbYs,Life in Germany | Easy German Livestream,"Hola . . . saludos desde Medellín , Colombia, me gusta mucho su canal de Youtube 😁😁",0
